-20 1.91517e-174
-19 1.65841e-157
-18 1.94351e-141
-17 3.08244e-126
-16 6.61626e-112
-15 1.92195e-98
-14 7.55582e-86
-13 4.02006e-74
-12 2.89464e-63
-11 2.82077e-53
-10 3.72008e-44
-9 6.63968e-36
-8 1.60381e-28
-7 5.24289e-22
-6 2.31952e-16
-5 1.38879e-11
-4 1.12535e-07
-3 0.00012341
-2 0.0183156
-1 0.367879
0 1
1 0.367879
2 0.0183156
3 0.00012341
4 1.12535e-07
5 1.38879e-11
6 2.31952e-16
7 5.24289e-22
8 1.60381e-28
9 6.63968e-36
10 3.72008e-44
11 2.82077e-53
12 2.89464e-63
13 4.02006e-74
14 7.55582e-86
15 1.92195e-98
16 6.61626e-112
17 3.08244e-126
18 1.94351e-141
19 1.65841e-157
20 1.91517e-174
